Episodio,Passos,Recompensa,Sucesso
313,25,17.2,1
314,22,17.9,1
315,18,18.3,1
316,18,18.3,1
317,20,18.1,1
318,24,16.9,1
319,23,17.4,1
320,20,18.1,1
321,18,18.3,1
322,22,17.9,1
323,18,18.3,1
324,18,18.3,1
325,21,17.6,1
326,20,18.1,1
327,18,18.3,1
328,19,17.8,1
329,20,18.1,1
330,22,17.1,1
331,20,18.1,1
332,22,17.9,1
333,19,17.8,1
334,18,18.3,1
335,21,17.6,1
336,19,17.8,1
337,19,17.8,1
338,22,17.1,1
339,20,17.3,1
340,18,18.3,1
341,20,18.1,1
342,18,18.3,1
343,20,18.1,1
344,19,17.8,1
345,20,18.1,1
346,19,17.8,1
347,18,18.3,1
348,18,18.3,1
349,18,18.3,1
350,18,18.3,1
351,23,17.4,1
352,22,17.9,1
353,21,17.6,1
354,18,18.3,1
355,19,17.8,1
356,19,17.8,1
357,20,18.1,1
358,27,17.0,1
359,21,17.6,1
360,18,18.3,1
361,20,18.1,1
362,22,17.9,1
363,23,17.4,1
364,24,17.7,1
365,22,17.1,1
366,18,18.3,1
367,18,18.3,1
368,18,18.3,1
369,20,18.1,1
370,22,17.9,1
371,18,18.3,1
372,18,18.3,1
373,23,17.4,1
374,20,18.1,1
375,23,17.4,1
376,20,18.1,1
377,18,18.3,1
378,22,17.9,1
379,20,18.1,1
380,22,17.9,1
381,20,18.1,1
382,23,17.4,1
383,18,18.3,1
384,20,18.1,1
385,18,18.3,1
386,18,18.3,1
387,20,18.1,1
388,23,16.6,1
389,20,18.1,1
390,23,17.4,1
391,23,17.4,1
392,18,18.3,1
393,18,18.3,1
394,18,18.3,1
395,18,18.3,1
396,18,18.3,1
397,20,18.1,1
398,19,17.8,1
399,21,17.6,1
400,22,17.9,1
401,19,17.8,1
402,21,17.6,1
403,21,17.6,1
404,20,18.1,1
405,18,18.3,1
406,20,18.1,1
407,20,18.1,1
408,19,17.8,1
409,19,17.8,1
410,19,17.8,1
411,18,18.3,1
412,19,17.8,1
413,18,18.3,1
414,20,18.1,1
415,20,18.1,1
416,20,17.3,1
417,20,18.1,1
418,20,18.1,1
419,22,17.9,1
420,18,18.3,1
421,22,17.9,1
422,20,18.1,1
423,20,17.3,1
424,26,17.5,1
425,18,18.3,1
426,23,17.4,1
427,21,17.6,1
428,19,17.8,1
429,18,18.3,1
430,18,18.3,1
431,20,18.1,1
432,21,17.6,1
433,18,18.3,1
434,19,17.8,1
435,24,16.9,1
436,21,17.6,1
437,18,18.3,1
438,20,18.1,1
439,24,17.7,1
440,18,18.3,1
441,18,18.3,1
442,19,17.8,1
443,19,17.8,1
444,21,17.6,1
445,20,18.1,1
446,20,18.1,1
447,20,18.1,1
448,18,18.3,1
449,18,18.3,1
450,20,18.1,1
451,18,18.3,1
452,22,17.9,1
453,18,18.3,1
454,18,18.3,1
455,22,17.9,1
456,22,17.9,1
457,18,18.3,1
458,21,17.6,1
459,18,18.3,1
460,18,18.3,1
461,18,18.3,1
462,18,18.3,1
463,18,18.3,1
464,21,17.6,1
465,27,17.0,1
466,22,17.9,1
467,20,18.1,1
468,23,17.4,1
469,22,17.9,1
470,18,18.3,1
471,20,18.1,1
472,18,18.3,1
473,22,17.9,1
474,22,17.9,1
475,20,17.3,1
476,25,17.2,1
477,20,18.1,1
478,19,17.8,1
479,18,18.3,1
480,19,17.8,1
481,18,18.3,1
482,19,17.8,1
483,20,18.1,1
484,20,18.1,1
485,20,18.1,1
486,22,17.9,1
487,18,18.3,1
488,18,18.3,1
489,22,17.9,1
490,20,18.1,1
491,18,18.3,1
492,20,18.1,1
493,18,18.3,1
494,22,17.1,1
495,20,18.1,1
496,22,17.9,1
497,19,17.8,1
498,20,18.1,1
499,21,17.6,1
500,20,18.1,1
501,20,18.1,1
502,19,17.8,1
503,20,18.1,1
504,25,17.2,1
505,19,17.8,1
506,18,18.3,1
507,18,18.3,1
508,23,17.4,1
509,20,18.1,1
510,18,18.3,1
511,21,17.6,1
512,19,17.8,1
513,19,17.8,1
514,20,17.3,1
515,20,18.1,1
516,18,18.3,1
517,20,18.1,1
518,20,18.1,1
519,20,18.1,1
520,24,17.7,1
521,18,18.3,1
522,18,18.3,1
523,18,18.3,1
524,26,15.9,1
525,20,18.1,1
526,20,18.1,1
527,26,17.5,1
528,20,18.1,1
529,23,17.4,1
530,25,17.2,1
531,18,18.3,1
532,20,17.3,1
533,19,17.8,1
534,20,18.1,1
535,20,18.1,1
536,27,17.0,1
537,20,18.1,1
538,18,18.3,1
539,22,17.1,1
540,20,17.3,1
541,19,17.8,1
542,19,17.8,1
543,18,18.3,1
544,18,18.3,1
545,20,18.1,1
546,21,17.6,1
547,20,18.1,1
548,20,18.1,1
549,20,17.3,1
550,22,17.9,1
551,18,18.3,1
552,20,18.1,1
553,20,18.1,1
554,22,17.9,1
555,19,17.8,1
556,20,18.1,1
557,18,18.3,1
558,18,18.3,1
559,21,17.6,1
560,20,18.1,1
561,19,17.8,1
562,18,18.3,1
563,20,18.1,1
564,19,17.8,1
565,21,17.6,1
566,18,18.3,1
567,18,18.3,1
568,19,17.8,1
569,20,18.1,1
570,18,18.3,1
571,25,15.6,1
572,23,17.4,1
573,24,17.7,1
574,19,17.8,1
575,20,18.1,1
576,18,18.3,1
577,18,18.3,1
578,20,18.1,1
579,22,17.9,1
580,20,18.1,1
581,21,17.6,1
582,20,18.1,1
583,22,17.9,1
584,19,17.8,1
585,20,18.1,1
586,18,18.3,1
587,20,18.1,1
588,18,18.3,1
589,19,17.8,1
590,24,17.7,1
591,20,18.1,1
592,25,17.2,1
593,18,18.3,1
594,18,18.3,1
595,20,18.1,1
596,21,17.6,1
597,27,17.0,1
598,18,18.3,1
599,20,17.3,1
600,22,17.9,1
601,22,17.1,1
602,21,17.6,1
603,24,17.7,1
604,22,16.3,1
605,19,17.8,1
606,18,18.3,1
607,21,17.6,1
608,21,17.6,1
609,21,17.6,1
610,21,17.6,1
611,20,17.3,1
612,22,17.9,1
613,19,17.8,1
614,20,18.1,1
615,28,16.5,1
616,26,17.5,1
617,19,17.8,1
618,22,17.1,1
619,21,17.6,1
620,23,17.4,1
621,18,18.3,1
622,18,18.3,1
623,20,18.1,1
624,20,18.1,1
625,22,17.1,1
626,19,17.8,1
627,18,18.3,1
628,18,18.3,1
629,21,17.6,1
630,23,16.6,1
631,22,17.9,1
632,18,18.3,1
633,18,18.3,1
634,18,18.3,1
635,20,18.1,1
636,18,18.3,1
637,18,18.3,1
638,21,16.8,1
639,18,18.3,1
640,19,17.8,1
641,24,17.7,1
642,24,17.7,1
643,22,17.9,1
644,18,18.3,1
645,19,17.8,1
646,20,18.1,1
647,20,18.1,1
648,18,18.3,1
649,24,17.7,1
650,19,17.8,1
651,21,17.6,1
652,20,18.1,1
653,21,17.6,1
654,20,18.1,1
655,18,18.3,1
656,23,17.4,1
657,22,17.9,1
658,19,17.8,1
659,20,18.1,1
660,23,17.4,1
661,21,17.6,1
662,20,18.1,1
663,18,18.3,1
664,18,18.3,1
665,20,18.1,1
666,22,17.9,1
667,21,17.6,1
668,18,18.3,1
669,18,18.3,1
670,20,18.1,1
671,20,18.1,1
672,22,17.9,1
673,18,18.3,1
674,24,17.7,1
675,19,17.8,1
676,19,17.8,1
677,18,18.3,1
678,19,17.8,1
679,20,17.3,1
680,18,18.3,1
681,20,17.3,1
682,26,17.5,1
683,19,17.8,1
684,19,17.8,1
685,18,18.3,1
686,24,17.7,1
687,18,18.3,1
688,19,17.8,1
689,24,17.7,1
690,18,18.3,1
691,24,17.7,1
692,20,18.1,1
693,20,18.1,1
694,19,17.8,1
695,20,18.1,1
696,23,17.4,1
697,19,17.8,1
698,20,18.1,1
699,18,18.3,1
700,21,17.6,1
701,21,16.8,1
702,23,17.4,1
703,22,17.9,1
704,18,18.3,1
705,19,17.8,1
706,22,17.9,1
707,21,17.6,1
708,25,17.2,1
709,22,17.9,1
710,23,17.4,1
711,18,18.3,1
712,20,18.1,1
713,20,18.1,1
714,25,17.2,1
715,19,17.8,1
716,20,18.1,1
717,20,18.1,1
718,22,17.9,1
719,18,18.3,1
720,18,18.3,1
721,22,17.9,1
722,20,18.1,1
723,18,18.3,1
724,19,17.8,1
725,23,17.4,1
726,20,18.1,1
727,18,18.3,1
728,20,18.1,1
729,18,18.3,1
730,20,18.1,1
731,22,17.1,1
732,20,18.1,1
733,20,18.1,1
734,24,17.7,1
735,22,17.1,1
736,23,17.4,1
737,18,18.3,1
738,22,17.9,1
739,22,17.9,1
740,21,17.6,1
741,20,18.1,1
742,20,18.1,1
743,19,17.8,1
744,19,17.8,1
745,20,17.3,1
746,18,18.3,1
747,21,17.6,1
748,20,18.1,1
749,20,18.1,1
750,18,18.3,1
751,22,17.9,1
752,20,18.1,1
753,21,17.6,1
754,21,17.6,1
755,18,18.3,1
756,18,18.3,1
757,24,17.7,1
758,18,18.3,1
759,20,18.1,1
760,19,17.8,1
761,20,18.1,1
762,22,17.9,1
763,20,18.1,1
764,20,18.1,1
765,18,18.3,1
766,18,18.3,1
767,18,18.3,1
768,24,16.9,1
769,22,17.9,1
770,20,17.3,1
771,21,17.6,1
772,18,18.3,1
773,21,17.6,1
774,18,18.3,1
775,20,18.1,1
776,20,18.1,1
777,20,18.1,1
778,18,18.3,1
779,22,17.9,1
780,20,17.3,1
781,24,16.9,1
782,22,17.1,1
783,26,16.7,1
784,19,17.8,1
785,18,18.3,1
786,18,18.3,1
787,19,17.8,1
788,18,18.3,1
789,22,17.1,1
790,18,18.3,1
791,18,18.3,1
792,23,17.4,1
793,19,17.8,1
794,18,18.3,1
795,20,17.3,1
796,20,18.1,1
797,20,18.1,1
798,18,18.3,1
799,19,17.8,1
800,18,18.3,1
801,25,17.2,1
802,18,18.3,1
803,19,17.8,1
804,18,18.3,1
805,18,18.3,1
806,20,18.1,1
807,18,18.3,1
808,20,18.1,1
809,20,18.1,1
810,20,18.1,1
811,20,18.1,1
812,22,17.9,1
813,20,18.1,1
814,21,17.6,1
815,18,18.3,1
816,20,18.1,1
817,21,17.6,1
818,18,18.3,1
819,20,18.1,1
820,18,18.3,1
821,18,18.3,1
822,22,17.1,1
823,19,17.8,1
824,22,17.9,1
825,24,16.9,1
826,20,18.1,1
827,18,18.3,1
828,22,17.9,1
829,19,17.8,1
830,20,17.3,1
831,21,17.6,1
832,20,18.1,1
833,19,17.8,1
834,18,18.3,1
835,21,17.6,1
836,20,18.1,1
837,20,18.1,1
838,20,17.3,1
839,18,18.3,1
840,20,18.1,1
841,22,17.9,1
842,18,18.3,1
843,22,17.1,1
844,19,17.8,1
845,23,17.4,1
846,18,18.3,1
847,21,17.6,1
848,21,17.6,1
849,18,18.3,1
850,20,18.1,1
851,18,18.3,1
852,22,17.9,1
853,20,18.1,1
854,18,18.3,1
855,21,17.6,1
856,18,18.3,1
857,21,17.6,1
858,18,18.3,1
859,21,17.6,1
