Episodio,Passos,Recompensa,Sucesso
314,100,72.4,1
315,100,70.3,1
316,100,101.9,1
317,100,128.2,1
318,100,147.8,1
319,100,122.9,1
320,100,46.8,1
321,100,21.2,1
322,100,77.7,1
323,100,21.6,1
324,100,123.6,1
325,100,71.0,1
326,100,23.7,1
327,100,74.9,1
328,100,103.3,1
329,100,128.2,1
330,100,25.1,1
331,100,95.2,1
332,100,123.6,1
333,100,128.9,1
334,100,121.5,1
335,100,127.5,1
336,100,-7.2,1
337,100,97.3,1
338,100,17.7,1
339,100,127.5,1
340,100,45.4,1
341,100,122.2,1
342,100,102.6,1
343,100,101.9,1
344,100,77.0,1
345,100,123.6,1
346,100,200.4,1
347,100,122.2,1
348,100,147.1,1
349,100,172.7,1
350,100,46.8,1
351,100,102.6,1
352,100,148.5,1
353,100,25.8,1
354,100,120.8,1
355,100,128.2,1
356,100,122.9,1
357,100,123.6,1
358,100,147.8,1
359,100,97.3,1
360,100,148.5,1
361,100,123.6,1
362,100,128.2,1
363,100,21.2,1
364,100,101.2,1
365,100,147.8,1
366,100,153.8,1
367,100,72.4,1
368,100,97.3,1
369,100,98.0,1
370,100,72.4,1
371,100,100.5,1
372,100,102.6,1
373,100,197.6,1
374,100,147.1,1
375,100,147.8,1
376,100,122.9,1
377,100,128.9,1
378,100,101.2,1
379,100,128.2,1
380,100,96.6,1
381,100,77.0,1
382,100,101.9,1
383,100,71.7,1
384,100,148.5,1
385,100,19.8,1
386,100,101.2,1
387,100,122.2,1
388,100,103.3,1
389,100,128.2,1
390,100,152.4,1
391,100,153.8,1
392,100,103.3,1
393,100,101.9,1
394,100,45.4,1
395,100,122.9,1
396,100,148.5,1
397,100,122.2,1
398,100,148.5,1
399,100,152.4,1
400,100,122.9,1
401,100,145.7,1
402,100,101.9,1
403,100,96.6,1
404,100,224.6,1
405,100,147.8,1
406,100,122.9,1
407,100,148.5,1
408,100,126.8,1
409,100,147.1,1
410,100,154.5,1
411,100,97.3,1
412,100,179.4,1
413,100,127.5,1
414,100,123.6,1
415,100,96.6,1
416,100,147.8,1
417,100,149.2,1
418,100,128.2,1
419,100,127.5,1
420,100,174.8,1
421,100,126.8,1
422,100,100.5,1
423,100,75.6,1
424,100,146.4,1
425,100,128.9,1
426,100,101.2,1
427,100,172.7,1
428,100,123.6,1
429,100,148.5,1
430,100,50.0,1
431,100,72.4,1
432,100,128.9,1
433,100,127.5,1
434,100,77.0,1
435,100,121.5,1
436,100,101.9,1
437,100,147.8,1
438,100,153.8,1
439,100,154.5,1
440,100,126.8,1
441,100,71.0,1
442,100,122.2,1
443,100,172.7,1
444,100,122.9,1
445,100,96.6,1
446,100,96.6,1
447,100,153.8,1
448,100,147.8,1
449,100,146.4,1
450,100,148.5,1
451,100,128.9,1
452,100,147.8,1
453,100,172.0,1
454,100,101.2,1
455,100,46.1,1
456,100,128.2,1
457,100,180.1,1
458,100,174.8,1
459,100,173.4,1
460,100,71.0,1
461,100,149.2,1
462,100,103.3,1
463,100,102.6,1
464,100,97.3,1
465,100,97.3,1
466,100,172.7,1
467,100,123.6,1
468,100,128.9,1
469,100,128.2,1
470,100,178.7,1
471,100,101.9,1
472,100,95.9,1
473,100,71.0,1
474,100,99.8,1
475,100,123.6,1
476,100,148.5,1
477,100,101.2,1
478,100,153.8,1
479,100,103.3,1
480,100,75.6,1
481,100,153.8,1
482,100,128.9,1
483,100,95.9,1
484,100,121.5,1
485,100,122.9,1
486,100,98.0,1
487,100,101.2,1
488,100,98.0,1
489,100,97.3,1
490,100,148.5,1
491,100,122.2,1
492,100,102.6,1
493,100,128.2,1
494,100,122.9,1
495,100,76.3,1
496,100,172.0,1
497,100,128.9,1
498,100,148.5,1
499,100,123.6,1
500,100,97.3,1
501,100,122.2,1
502,100,224.6,1
503,100,174.8,1
504,100,101.9,1
505,100,179.4,1
506,100,75.6,1
507,100,97.3,1
508,100,122.2,1
509,100,172.0,1
510,100,123.6,1
511,100,174.1,1
512,100,128.2,1
513,100,199.0,1
514,100,174.8,1
515,100,128.2,1
516,100,122.9,1
517,100,102.6,1
518,100,77.0,1
519,100,103.3,1
520,100,153.8,1
521,100,178.7,1
522,100,122.9,1
523,100,72.4,1
524,100,173.4,1
525,100,77.7,1
526,100,149.2,1
527,100,149.2,1
528,100,148.5,1
529,100,128.9,1
530,100,147.8,1
531,100,95.9,1
532,100,202.2,1
533,100,148.5,1
534,100,225.3,1
535,100,127.5,1
536,100,148.5,1
537,100,154.5,1
538,100,128.2,1
539,100,148.5,1
540,100,128.2,1
541,100,101.9,1
542,100,103.3,1
543,100,148.5,1
544,100,198.3,1
545,100,122.9,1
546,100,128.9,1
547,100,174.1,1
548,100,126.8,1
549,100,77.7,1
550,100,51.4,1
551,100,148.5,1
552,100,98.0,1
553,100,147.8,1
554,100,126.1,1
555,100,153.8,1
556,100,102.6,1
557,100,103.3,1
558,100,103.3,1
559,100,149.2,1
560,100,77.0,1
561,100,146.4,1
562,100,128.2,1
563,100,128.2,1
564,100,96.6,1
565,100,148.5,1
566,100,97.3,1
567,100,149.2,1
568,100,148.5,1
569,100,151.7,1
570,100,174.8,1
571,100,205.0,1
572,100,174.8,1
573,100,122.9,1
574,100,121.5,1
575,100,102.6,1
576,100,120.1,1
577,100,123.6,1
578,100,174.1,1
579,100,128.2,1
580,100,128.9,1
581,100,128.2,1
582,100,20.5,1
583,100,123.6,1
584,100,95.9,1
585,100,128.2,1
586,100,173.4,1
587,100,123.6,1
588,100,122.2,1
589,100,223.2,1
590,100,179.4,1
591,100,126.8,1
592,100,103.3,1
593,100,122.2,1
594,100,154.5,1
595,100,153.8,1
596,100,147.8,1
597,100,96.6,1
598,100,122.9,1
599,100,128.2,1
600,100,197.6,1
601,100,148.5,1
602,100,120.8,1
603,100,122.9,1
604,100,102.6,1
605,100,101.9,1
606,100,199.7,1
607,100,128.9,1
608,100,147.1,1
609,100,123.6,1
610,100,128.9,1
611,100,103.3,1
612,100,122.2,1
613,100,123.6,1
614,100,101.9,1
615,100,128.2,1
616,100,154.5,1
617,100,152.4,1
618,100,71.0,1
619,100,146.4,1
620,100,122.2,1
621,100,122.9,1
622,100,123.6,1
623,100,128.2,1
624,100,178.0,1
625,100,98.0,1
626,100,128.2,1
627,100,122.2,1
628,100,126.8,1
629,100,173.4,1
630,100,98.0,1
631,100,102.6,1
632,100,77.0,1
633,100,149.2,1
634,100,77.7,1
635,100,128.2,1
636,100,97.3,1
637,100,98.0,1
638,100,128.2,1
639,100,121.5,1
640,100,98.0,1
641,100,128.9,1
642,100,127.5,1
643,100,146.4,1
644,100,126.1,1
645,100,102.6,1
646,100,123.6,1
647,100,123.6,1
648,100,123.6,1
649,100,230.6,1
650,100,121.5,1
651,100,71.0,1
652,100,76.3,1
653,100,122.9,1
654,100,128.9,1
655,100,122.9,1
656,100,122.9,1
657,100,120.8,1
658,100,122.2,1
659,100,103.3,1
660,100,97.3,1
661,100,147.1,1
662,100,102.6,1
663,100,103.3,1
664,100,147.8,1
665,100,102.6,1
666,100,149.2,1
667,100,121.5,1
668,100,147.8,1
669,100,103.3,1
670,100,127.5,1
671,100,152.4,1
672,100,123.6,1
673,100,126.8,1
674,100,148.5,1
675,100,148.5,1
676,100,174.1,1
677,100,101.9,1
678,100,149.2,1
679,100,77.0,1
680,100,126.8,1
681,100,101.9,1
682,100,99.8,1
683,100,128.2,1
684,100,126.8,1
685,100,128.9,1
686,100,122.9,1
687,100,174.8,1
688,100,122.9,1
689,100,149.2,1
690,100,154.5,1
691,100,93.8,1
692,100,77.7,1
693,100,122.9,1
694,100,177.3,1
695,100,74.9,1
696,100,123.6,1
697,100,154.5,1
698,100,98.0,1
699,100,128.2,1
700,100,103.3,1
701,100,128.2,1
702,100,127.5,1
703,100,148.5,1
704,100,96.6,1
705,100,128.2,1
706,100,149.2,1
707,100,149.2,1
708,100,101.9,1
709,100,123.6,1
710,100,147.8,1
711,100,172.7,1
712,100,122.9,1
713,100,128.2,1
714,100,147.8,1
715,100,148.5,1
716,100,101.9,1
717,100,120.8,1
718,100,128.2,1
719,100,122.2,1
720,100,154.5,1
721,100,172.7,1
722,100,102.6,1
723,100,97.3,1
724,100,101.2,1
725,100,98.0,1
726,100,123.6,1
727,100,121.5,1
728,100,123.6,1
729,100,149.2,1
730,100,125.4,1
731,100,147.1,1
732,100,121.5,1
733,100,199.0,1
734,100,147.1,1
735,100,123.6,1
736,100,102.6,1
737,100,122.2,1
738,100,97.3,1
739,100,103.3,1
740,100,76.3,1
741,100,177.3,1
742,100,123.6,1
743,100,96.6,1
744,100,148.5,1
745,100,120.8,1
746,100,103.3,1
747,100,98.0,1
748,100,147.1,1
749,100,127.5,1
750,100,122.9,1
751,100,121.5,1
752,100,148.5,1
753,100,101.9,1
754,100,154.5,1
755,100,200.4,1
756,100,121.5,1
757,100,123.6,1
758,100,149.2,1
759,100,153.1,1
760,100,122.9,1
761,100,122.9,1
762,100,100.5,1
763,100,121.5,1
764,100,122.9,1
765,100,122.9,1
766,100,123.6,1
767,100,197.6,1
768,100,127.5,1
769,100,178.0,1
770,100,128.2,1
771,100,101.9,1
772,100,173.4,1
773,100,147.8,1
774,100,147.8,1
775,100,128.2,1
776,100,98.0,1
777,100,154.5,1
778,100,96.6,1
779,100,148.5,1
780,100,153.1,1
781,100,76.3,1
782,100,95.9,1
783,100,75.6,1
784,100,127.5,1
785,100,103.3,1
786,100,122.9,1
787,100,149.2,1
788,100,72.4,1
789,100,98.0,1
790,100,128.2,1
791,100,96.6,1
792,100,102.6,1
793,100,96.6,1
794,100,174.8,1
795,100,122.2,1
796,100,96.6,1
797,100,96.6,1
798,100,201.5,1
799,100,128.9,1
800,100,97.3,1
801,100,148.5,1
802,100,128.2,1
803,100,96.6,1
804,100,127.5,1
805,100,102.6,1
806,100,149.2,1
807,100,154.5,1
808,100,94.5,1
809,100,102.6,1
810,100,77.7,1
811,100,102.6,1
812,100,128.9,1
813,100,97.3,1
814,100,172.7,1
815,100,102.6,1
816,100,122.2,1
817,100,102.6,1
818,100,147.8,1
819,100,101.9,1
820,100,127.5,1
821,100,101.9,1
822,100,123.6,1
823,100,174.1,1
824,100,146.4,1
825,100,196.9,1
826,100,180.1,1
827,100,97.3,1
828,100,103.3,1
829,100,101.2,1
830,100,147.1,1
831,100,225.3,1
832,100,123.6,1
833,100,231.3,1
834,100,203.6,1
835,100,147.8,1
836,100,128.9,1
837,100,126.8,1
838,100,148.5,1
839,100,71.7,1
840,100,98.0,1
841,100,103.3,1
842,100,172.7,1
843,100,128.2,1
844,100,101.9,1
845,100,122.9,1
846,100,179.4,1
847,100,126.8,1
848,100,122.2,1
849,100,174.1,1
850,100,77.0,1
851,100,103.3,1
852,100,102.6,1
853,100,128.2,1
854,100,77.7,1
855,100,149.2,1
856,100,128.9,1
857,100,71.0,1
858,100,123.6,1
859,100,122.2,1
860,100,98.0,1
861,100,76.3,1
862,100,122.9,1
863,100,125.4,1
864,100,149.2,1
865,100,126.8,1
866,100,148.5,1
867,100,172.7,1
868,100,120.8,1
869,100,103.3,1
870,100,101.9,1
871,100,122.9,1
872,100,121.5,1
873,100,123.6,1
874,100,122.9,1
875,100,122.9,1
876,100,103.3,1
877,100,122.2,1
878,100,102.6,1
879,100,103.3,1
880,100,148.5,1
881,100,148.5,1
882,100,127.5,1
883,100,122.9,1
884,100,122.9,1
