Episodio,Passos,Recompensa,Sucesso
314,20,8.1,1
315,22,7.9,1
316,18,8.3,1
317,18,8.3,1
318,19,8.2,1
319,22,7.9,1
320,18,8.3,1
321,20,8.1,1
322,21,8.0,1
323,20,8.1,1
324,19,8.2,1
325,18,8.3,1
326,20,8.1,1
327,26,7.5,1
328,22,7.9,1
329,18,8.3,1
330,25,7.6,1
331,20,8.1,1
332,22,7.9,1
333,19,8.2,1
334,18,8.3,1
335,22,7.9,1
336,20,8.1,1
337,18,8.3,1
338,19,8.2,1
339,20,8.1,1
340,22,7.9,1
341,22,7.9,1
342,20,8.1,1
343,20,8.1,1
344,22,7.9,1
345,18,8.3,1
346,18,8.3,1
347,22,7.9,1
348,20,8.1,1
349,20,8.1,1
350,24,7.7,1
351,20,8.1,1
352,18,8.3,1
353,18,8.3,1
354,22,7.9,1
355,18,8.3,1
356,18,8.3,1
357,20,8.1,1
358,20,8.1,1
359,18,8.3,1
360,18,8.3,1
361,18,8.3,1
362,20,8.1,1
363,18,8.3,1
364,19,8.2,1
365,18,8.3,1
366,22,7.9,1
367,20,8.1,1
368,19,8.2,1
369,20,8.1,1
370,20,8.1,1
371,20,8.1,1
372,24,7.7,1
373,20,8.1,1
374,22,7.9,1
375,20,8.1,1
376,18,8.3,1
377,18,8.3,1
378,19,8.2,1
379,19,8.2,1
380,22,7.9,1
381,24,7.7,1
382,20,8.1,1
383,24,7.7,1
384,22,7.9,1
385,18,8.3,1
386,22,7.9,1
387,18,8.3,1
388,18,8.3,1
389,20,8.1,1
390,25,7.6,1
391,18,8.3,1
392,18,8.3,1
393,23,7.8,1
394,24,7.7,1
395,21,8.0,1
396,20,8.1,1
397,18,8.3,1
398,22,7.9,1
399,20,8.1,1
400,18,8.3,1
401,20,8.1,1
402,20,8.1,1
403,18,8.3,1
404,22,7.9,1
405,20,8.1,1
406,20,8.1,1
407,24,7.7,1
408,20,8.1,1
409,18,8.3,1
410,24,7.7,1
411,22,7.9,1
412,20,8.1,1
413,24,7.7,1
414,18,8.3,1
415,18,8.3,1
416,20,8.1,1
417,18,8.3,1
418,23,7.8,1
419,18,8.3,1
420,18,8.3,1
421,21,8.0,1
422,19,8.2,1
423,26,7.5,1
424,18,8.3,1
425,20,8.1,1
426,18,8.3,1
427,21,8.0,1
428,21,8.0,1
429,19,8.2,1
430,22,7.9,1
431,18,8.3,1
432,18,8.3,1
433,20,8.1,1
434,18,8.3,1
435,23,7.8,1
436,22,7.9,1
437,18,8.3,1
438,20,8.1,1
439,18,8.3,1
440,21,8.0,1
441,22,7.9,1
442,20,8.1,1
443,18,8.3,1
444,20,8.1,1
445,20,8.1,1
446,18,8.3,1
447,18,8.3,1
448,21,8.0,1
449,18,8.3,1
450,20,8.1,1
451,18,8.3,1
452,18,8.3,1
453,20,8.1,1
454,18,8.3,1
455,21,8.0,1
456,18,8.3,1
457,20,8.1,1
458,20,8.1,1
459,20,8.1,1
460,22,7.9,1
461,18,8.3,1
462,19,8.2,1
463,18,8.3,1
464,22,7.9,1
465,18,8.3,1
466,18,8.3,1
467,24,7.7,1
468,18,8.3,1
469,20,8.1,1
470,22,7.9,1
471,21,8.0,1
472,19,8.2,1
473,21,8.0,1
474,23,7.8,1
475,24,7.7,1
476,21,8.0,1
477,22,7.9,1
478,19,8.2,1
479,26,7.5,1
480,20,8.1,1
481,20,8.1,1
482,18,8.3,1
483,20,8.1,1
484,24,7.7,1
485,18,8.3,1
486,20,8.1,1
487,20,8.1,1
488,19,8.2,1
489,18,8.3,1
490,18,8.3,1
491,22,7.9,1
492,22,7.9,1
493,18,8.3,1
494,22,7.9,1
495,22,7.9,1
496,22,7.9,1
497,22,7.9,1
498,23,7.8,1
499,20,8.1,1
500,20,8.1,1
501,20,8.1,1
502,24,7.7,1
503,20,8.1,1
504,23,7.8,1
505,20,8.1,1
506,19,8.2,1
507,20,8.1,1
508,24,7.7,1
509,20,8.1,1
510,18,8.3,1
511,18,8.3,1
512,24,7.7,1
513,21,8.0,1
514,20,8.1,1
515,22,7.9,1
516,23,7.8,1
517,18,8.3,1
518,20,8.1,1
519,18,8.3,1
520,20,8.1,1
521,20,8.1,1
522,20,8.1,1
523,20,8.1,1
524,18,8.3,1
525,22,7.9,1
526,18,8.3,1
527,18,8.3,1
528,24,7.7,1
529,18,8.3,1
530,18,8.3,1
531,18,8.3,1
532,20,8.1,1
533,18,8.3,1
534,21,8.0,1
535,18,8.3,1
536,20,8.1,1
537,21,8.0,1
538,18,8.3,1
539,22,7.9,1
540,23,7.8,1
541,18,8.3,1
542,20,8.1,1
543,18,8.3,1
544,19,8.2,1
545,18,8.3,1
546,22,7.9,1
547,20,8.1,1
548,18,8.3,1
549,18,8.3,1
550,19,8.2,1
551,18,8.3,1
552,18,8.3,1
553,20,8.1,1
554,20,8.1,1
555,20,8.1,1
556,18,8.3,1
557,18,8.3,1
558,18,8.3,1
559,20,8.1,1
560,18,8.3,1
561,21,8.0,1
562,20,8.1,1
563,20,8.1,1
564,18,8.3,1
565,19,8.2,1
566,20,8.1,1
567,20,8.1,1
568,21,8.0,1
569,22,7.9,1
570,20,8.1,1
571,20,8.1,1
572,18,8.3,1
573,20,8.1,1
574,22,7.9,1
575,18,8.3,1
576,20,8.1,1
577,20,8.1,1
578,18,8.3,1
579,20,8.1,1
580,22,7.9,1
581,18,8.3,1
582,20,8.1,1
583,19,8.2,1
584,21,8.0,1
585,20,8.1,1
586,20,8.1,1
587,20,8.1,1
588,18,8.3,1
589,23,7.8,1
590,18,8.3,1
591,18,8.3,1
592,18,8.3,1
593,20,8.1,1
594,18,8.3,1
595,24,7.7,1
596,18,8.3,1
597,23,7.8,1
598,19,8.2,1
599,20,8.1,1
600,22,7.9,1
601,20,8.1,1
602,20,8.1,1
603,20,8.1,1
604,20,8.1,1
605,20,8.1,1
606,18,8.3,1
607,22,7.9,1
608,18,8.3,1
609,18,8.3,1
610,21,8.0,1
611,21,8.0,1
612,18,8.3,1
613,20,8.1,1
614,20,8.1,1
615,22,7.9,1
616,19,8.2,1
617,20,8.1,1
618,20,8.1,1
619,20,8.1,1
620,18,8.3,1
621,24,7.7,1
622,22,7.9,1
623,18,8.3,1
624,18,8.3,1
625,18,8.3,1
626,18,8.3,1
627,18,8.3,1
628,18,8.3,1
629,20,8.1,1
630,21,8.0,1
631,21,8.0,1
632,18,8.3,1
633,20,8.1,1
634,26,7.5,1
635,19,8.2,1
636,22,7.9,1
637,20,8.1,1
638,20,8.1,1
639,24,7.7,1
640,21,8.0,1
641,28,7.3,1
642,18,8.3,1
643,18,8.3,1
644,18,8.3,1
645,19,8.2,1
646,20,8.1,1
647,18,8.3,1
648,20,8.1,1
649,22,7.9,1
650,22,7.9,1
651,20,8.1,1
652,23,7.8,1
653,18,8.3,1
654,19,8.2,1
655,20,8.1,1
656,26,7.5,1
657,19,8.2,1
658,25,7.6,1
659,20,8.1,1
660,20,8.1,1
661,20,8.1,1
662,26,7.5,1
663,18,8.3,1
664,20,8.1,1
665,20,8.1,1
666,18,8.3,1
667,18,8.3,1
668,19,8.2,1
669,19,8.2,1
670,20,8.1,1
671,18,8.3,1
672,24,7.7,1
673,24,7.7,1
674,21,8.0,1
675,20,8.1,1
676,18,8.3,1
677,20,8.1,1
678,20,8.1,1
679,18,8.3,1
680,21,8.0,1
681,23,7.8,1
682,18,8.3,1
683,20,8.1,1
684,19,8.2,1
685,23,7.8,1
686,21,8.0,1
687,18,8.3,1
688,18,8.3,1
689,20,8.1,1
690,22,7.9,1
691,20,8.1,1
692,22,7.9,1
693,18,8.3,1
694,22,7.9,1
695,21,8.0,1
696,20,8.1,1
697,18,8.3,1
698,21,8.0,1
699,19,8.2,1
700,20,8.1,1
701,18,8.3,1
702,18,8.3,1
703,20,8.1,1
704,24,7.7,1
705,18,8.3,1
706,20,8.1,1
707,20,8.1,1
708,18,8.3,1
709,23,7.8,1
710,19,8.2,1
711,20,8.1,1
712,21,8.0,1
713,21,8.0,1
714,23,7.8,1
715,19,8.2,1
716,20,8.1,1
717,20,8.1,1
718,22,7.9,1
719,20,8.1,1
720,18,8.3,1
721,18,8.3,1
722,20,8.1,1
723,18,8.3,1
724,20,8.1,1
725,22,7.9,1
726,18,8.3,1
727,20,8.1,1
728,18,8.3,1
729,25,7.6,1
730,18,8.3,1
731,18,8.3,1
732,20,8.1,1
733,21,8.0,1
734,20,8.1,1
735,21,8.0,1
736,20,8.1,1
737,18,8.3,1
738,20,8.1,1
739,20,8.1,1
740,18,8.3,1
741,18,8.3,1
742,19,8.2,1
743,20,8.1,1
744,20,8.1,1
745,22,7.9,1
746,18,8.3,1
747,18,8.3,1
748,20,8.1,1
749,18,8.3,1
750,20,8.1,1
751,22,7.9,1
752,30,7.1,1
753,20,8.1,1
754,18,8.3,1
755,20,8.1,1
756,19,8.2,1
757,22,7.9,1
758,18,8.3,1
759,20,8.1,1
760,24,7.7,1
761,21,8.0,1
762,20,8.1,1
763,26,7.5,1
764,18,8.3,1
765,20,8.1,1
766,20,8.1,1
767,20,8.1,1
768,21,8.0,1
769,18,8.3,1
770,18,8.3,1
771,18,8.3,1
772,22,7.9,1
773,21,8.0,1
774,20,8.1,1
775,20,8.1,1
776,18,8.3,1
777,30,7.1,1
778,20,8.1,1
779,24,7.7,1
780,18,8.3,1
781,19,8.2,1
782,18,8.3,1
