Episodio,Passos,Recompensa,Sucesso
314,19,8.2,1
315,22,7.9,1
316,20,8.1,1
317,20,8.1,1
318,22,7.9,1
319,20,8.1,1
320,19,8.2,1
321,20,8.1,1
322,19,8.2,1
323,21,8.0,1
324,18,8.3,1
325,20,8.1,1
326,18,8.3,1
327,18,8.3,1
328,19,8.2,1
329,20,8.1,1
330,20,8.1,1
331,20,8.1,1
332,23,7.8,1
333,18,8.3,1
334,18,8.3,1
335,18,8.3,1
336,20,8.1,1
337,20,8.1,1
338,22,7.9,1
339,21,8.0,1
340,18,8.3,1
341,20,8.1,1
342,18,8.3,1
343,18,8.3,1
344,20,8.1,1
345,22,7.9,1
346,18,8.3,1
347,22,7.9,1
348,20,8.1,1
349,22,7.9,1
350,20,8.1,1
351,18,8.3,1
352,24,7.7,1
353,20,8.1,1
354,19,8.2,1
355,22,7.9,1
356,23,7.8,1
357,18,8.3,1
358,18,8.3,1
359,20,8.1,1
360,18,8.3,1
361,18,8.3,1
362,18,8.3,1
363,20,8.1,1
364,18,8.3,1
365,18,8.3,1
366,19,8.2,1
367,18,8.3,1
368,20,8.1,1
369,19,8.2,1
370,22,7.9,1
371,18,8.3,1
372,22,7.9,1
373,19,8.2,1
374,21,8.0,1
375,18,8.3,1
376,21,8.0,1
377,18,8.3,1
378,24,7.7,1
379,20,8.1,1
380,18,8.3,1
381,20,8.1,1
382,18,8.3,1
383,20,8.1,1
384,20,8.1,1
385,20,8.1,1
386,20,8.1,1
387,18,8.3,1
388,18,8.3,1
389,22,7.9,1
390,21,8.0,1
391,20,8.1,1
392,24,7.7,1
393,26,7.5,1
394,20,8.1,1
395,23,7.8,1
396,20,8.1,1
397,22,7.9,1
398,18,8.3,1
399,18,8.3,1
400,18,8.3,1
401,18,8.3,1
402,18,8.3,1
403,20,8.1,1
404,20,8.1,1
405,18,8.3,1
406,22,7.9,1
407,22,7.9,1
408,20,8.1,1
409,18,8.3,1
410,23,7.8,1
411,18,8.3,1
412,18,8.3,1
413,20,8.1,1
414,20,8.1,1
415,25,7.6,1
